first_name,last_name,id,status,title,dept,office_email,office_phone,pay_rate,pay_type,pay_method,pay_account,pay_address
51-4678119,Issie,Scholard,11 Texas Court,Columbia,Missouri,65218,Hourly,134386.51,34,91.06,9/7/1979,433-37-6370,3/24/2005,1635796688,596402474,1,Engineering Associate,HR,I.Scholard@gmail.com,123-556-6902,1
68-9609244,Jed,Netti,85 Coolidge Terrace,San Antonio,Texas,78255,Commission,159648.55,47,45.7,8/6/1983,853-05-1049,2/25/2000,2475720010,655213753,1,Marketing Associate,Finance,J.Netti@gmail.com,626-570-9061,1
47-2771794,Galvan,Solesbury,3 Drewry Junction,Springfield,Illinois,62794,Commission,91934.89,39,47.92,9/1/1997,710-77-6316,8/20/2001,231260459,707473871,1,Marketing Manager,Finance,G.Solesbury@gmail.com,780-523-0874,1
11-0469486,Reynard,Lorenzin,3233 Spaight Point,Houston,Texas,77030,Salary,87578.56,27,86.84,2/26/1975,196-98-7977,8/20/2011,545766360,526479664,1,Finance Associate,Operations,R.Lorenzin@gmail.com,280-087-0720,1
41-5906217,Sandi,Bernardinelli,24129 Susan Junction,Houston,Texas,77080,Salary,75273.14,44,58.58,3/27/1998,037-97-3120,9/26/2017,1.35407E+11,38429197,1,Marketing Associate,Marketing,S.Bernardinelli@gmail.com,674-255-8361,1
62-5530062,Shelli,Gosnold,0348 Dakota Hill,Pasadena,California,91199,Commission,139728.46,30,65.55,6/28/1976,614-93-7679,4/24/2007,44324814,494284040,1,Engineering Associate,IT,S.Gosnold@gmail.com,284-651-6096,1
87-6664864,Deonne,Plane,61894 Westerfield Lane,Portland,Oregon,97296,Hourly,103514.53,36,92.61,8/11/1978,107-84-1841,1/12/2020,5791126270,266215612,1,IT Associate,Engineering,D.Plane@gmail.com,841-077-7364,1
07-3318962,Filia,Cramb,2 Hallows Parkway,Fort Worth,Texas,76192,Hourly,138257.72,20,99.59,10/14/1972,327-01-6356,11/16/2017,35231543,570416582,1,Engineering Associate,Operations,F.Cramb@gmail.com,858-865-5694,1
80-1251478,Berni,Whittam,77015 Prairie Rose Road,Chicago,Illinois,60669,Commission,46020.03,40,43.25,1/25/1976,655-84-7763,10/14/2003,5937153350,993654048,1,Finance Associate,IT,B.Whittam@gmail.com,357-750-2392,0
38-2406306,Kelby,Shaxby,5 Roxbury Place,Dallas,Texas,75231,Commission,46173.64,31,75.03,12/24/1979,414-24-0708,10/22/2002,3128390375,839945888,2,HR Associate,HR,K.Shaxby@gmail.com,929-827-2585,1
06-4413296,Carola,Doche,820 Blackbird Crossing,Houston,Texas,77234,Hourly,136114.4,29,65.06,9/23/1993,718-96-7458,1/6/2017,67303731,908995581,1,Engineering Associate,Operations,C.Doche@gmail.com,855-797-3687,1
58-5924013,Amabel,Reeks,7 Buell Terrace,Cleveland,Ohio,44105,Hourly,123237.32,35,36.6,8/23/1979,791-10-2590,11/14/2012,38458284428,907659930,1,Operations Associate,Legal,A.Reeks@gmail.com,631-730-4929,1
45-9277595,Vilhelmina,Cranham,0434 Jenifer Court,Annapolis,Maryland,21405,Hourly,74736.36,42,90.18,7/19/1992,093-48-4043,12/27/2001,2.2761E+11,769083483,1,IT Associate,HR,V.Cranham@gmail.com,303-614-2026,0
04-0002399,Nicoli,Allanson,02370 Golf View Circle,Boulder,Colorado,80305,Hourly,152822.32,22,34.79,2/28/1987,511-86-2529,5/19/2015,65585973,712863723,1,Marketing Manager,Finance,N.Allanson@gmail.com,553-318-8602,1
06-9938086,Jeffie,Steedman,06 Oneill Hill,Huntsville,Alabama,35895,Salary,129855.42,21,19.82,6/23/1992,366-10-3740,8/1/2014,57198175531,61126735,1,HR Associate,HR,J.Steedman@gmail.com,185-659-3967,1
86-3502566,Rosamund,Ridhole,60 Forest Plaza,Fort Lauderdale,Florida,33336,Salary,60150.07,37,19.8,2/5/1982,198-96-6223,12/22/2014,4.37384E+11,107361815,1,Sales Associate,Marketing,R.Ridhole@gmail.com,415-208-9379,0
64-8475900,Dre,Oylett,3116 Barby Lane,Aurora,Illinois,60505,Commission,102583.77,32,83,9/17/1980,711-14-7025,5/1/2008,22648129,534769854,1,Finance Associate,Operations,D.Oylett@gmail.com,219-087-6685,1
38-0498292,Parke,Novotna,990 Erie Center,Aiken,South Carolina,29805,Hourly,33580.92,34,93.39,7/16/1997,827-52-4145,11/23/2005,40176690238,883502448,1,Sales Associate,Marketing,P.Novotna@gmail.com,369-658-3277,1
27-7347997,Darda,Philippsohn,35347 Oneill Hill,Palm Bay,Florida,32909,Hourly,85762.52,21,27.76,11/7/1976,100-66-4738,11/12/2003,9.2435E+11,99381664,1,IT Associate,Legal,D.Philippsohn@gmail.com,855-789-9976,1
